what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318131958083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318132002889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1318132119544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318132122103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318132127141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318132133408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132249339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132365106
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318132371054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318132386686
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318132388980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132430815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132622253
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132781404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132788483
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318132868194
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1318132878627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132883348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132891850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132898970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132909514
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318132910037
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318132910106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132950536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318132950681
