what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460474960
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460476760
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460488295
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460492504
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1319460499360
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460505152
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460509952
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460514233
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460518535
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460523432
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460526248
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460529432
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1319460539344
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1319460549752
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460551737
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460553448
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1319460559089
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460561704
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460570345
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1319460573464
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1319460582617
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460590969
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460603960
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1319460609257
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1319460619754
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460632370
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460636513
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460637891
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460646504
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1319460660857
opened,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1319460660956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319460752032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319501108136
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1319501108222
closed,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1319501108325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319501112304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319506210205
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319506210268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319509774796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319509803046
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1319509804003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1319509804030
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1319509804030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319509807324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319509810861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319509813270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319509822006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319509873984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319510030102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319510033784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319510036126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1319510040096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319510042627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1319510281658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319510284098
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510349743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510352318
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1319510354321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510359312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510387356
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319510389756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319510509583
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319510517822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1319510531904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510542523
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510546951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510546974
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1319510547658
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319510554882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510560504
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510567935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510567956
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1319510568293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510574952
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510580814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510580836
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319510620289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510627680
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510636895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510636918
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1319510640892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510654339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510717029
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319510717158
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510721032
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510731071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510731099
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1319510731694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510736521
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510742342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510742364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510748094
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510752724
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510752757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510757132
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510763897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510763919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510780128
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510786340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510786362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510794314
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510802430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510802455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510806519
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510814823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510814845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510819122
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510826546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510826566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510831531
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319510836589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510836610
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510870856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510882863
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319510884407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510893801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510900575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510905243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319510946945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1319510972733
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1319510974333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319511049043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319511062748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319511106768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319511106937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319511246600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319511249704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1319511301730
