what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512778745
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319512784253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512784288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512789191
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319512794411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512794433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512797608
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319512806624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512806650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512815195
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319512818598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512818620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512828342
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1319512830109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512830126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512832653
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1319512843098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512843120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512848089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512946283
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319512946343
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319512948968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512954200
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1319512956085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512956111
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319512957620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512961312
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1319512969229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1319512969247
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1319512969673
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1319512969906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1319512982350
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1319512982536
